"Município";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110001 ALTA FLORESTA D'OESTE";86328,43;60806,95;66636,90;74055,57;70997,87;71579,62;66363,72;64261,21;48459,59;55468,59;53382,46;58287,93;79138,93;81649,84;77589,40;59061,29;49365,24;64177,07;54622,09;54220,45;53040,62;-;1349493,77
"110002 ARIQUEMES";714906,99;695353,36;558066,96;649989,81;810755,90;896563,65;894191,37;539189,39;656829,64;510991,19;741107,53;641019,95;611931,56;887125,95;718424,09;646256,67;745607,06;689334,40;529551,51;599509,49;578245,86;581216,36;14896168,69
"110003 CABIXI";6351,34;6981,95;5545,52;5459,19;6961,14;2626,62;1530,49;3284,17;2390,76;-;2640,90;6666,01;9782,37;6716,52;5865,55;5439,05;5043,79;8683,36;7220,62;2905,42;9448,81;8634,11;120177,69
"110004 CACOAL";1114502,28;1227049,64;1244873,48;1390098,34;1723700,75;1890763,80;1469122,66;1721074,67;2098614,04;1785063,15;1829052,77;1698465,82;1143170,49;1192132,96;1444655,56;1182146,36;1121767,73;1336989,94;1249812,65;1074116,05;1073349,20;1203600,02;31214122,36
"110005 CEREJEIRAS";59248,15;45569,89;17042,21;33826,76;29376,16;23930,20;34030,63;35779,57;23756,05;35539,45;57049,05;70405,33;69555,51;50115,47;41480,68;41822,92;35402,27;42410,33;-;-;-;-;746340,63
"110006 COLORADO DO OESTE";55913,41;33655,95;45633,01;20204,08;47591,31;25575,50;112328,44;50745,56;25315,65;19040,16;42176,82;34427,43;47982,40;35532,14;19051,63;30499,52;44075,06;52239,82;34163,02;76877,91;54915,55;-;907944,37
"110007 CORUMBIARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5865,97;9271,31;16976,94;-;-;32114,22
"110008 COSTA MARQUES";-;-;3975,07;3807,18;2039,80;2370,47;1527,67;1149,65;5041,05;4456,14;3525,88;8568,87;13866,74;8063,73;8575,68;16192,93;7068,00;11872,28;6970,08;10527,63;13502,52;10677,91;143779,28
"110009 ESPIGAO D'OESTE";49998,49;42343,70;42681,45;32546,51;42171,18;56002,26;39502,63;44865,28;43760,30;43863,64;44096,51;52012,82;52445,78;49183,14;42270,97;51147,51;32448,00;38162,39;42085,06;43262,93;48064,36;-;932914,91
"110010 GUAJARA-MIRIM";154802,35;143770,99;129670,67;116922,33;108857,15;100919,27;117780,34;86139,97;43702,88;35968,60;51822,25;36947,84;63570,74;55092,63;101292,83;152097,65;326453,69;345410,04;347831,30;180590,66;138057,68;154812,14;2992514,00
"110011 JARU";153709,65;135991,68;197445,23;184011,19;166398,32;189648,52;156457,15;127746,81;149300,27;139609,55;142220,91;141453,43;163390,01;142481,76;147207,04;129341,11;97011,81;110312,86;109600,63;129131,17;125164,06;-;3037633,16
"110012 JI-PARANA";941888,80;798123,61;1224415,48;1115836,70;704948,37;894708,35;1053072,73;1088691,80;1171553,38;865243,83;942664,11;1195322,33;1328426,87;1108589,63;1105897,98;1076302,81;920576,53;1104364,96;956513,68;928816,24;1149784,46;913926,91;22589669,56
"110013 MACHADINHO D'OESTE";100419,55;106698,74;91051,81;61874,09;105235,98;92626,10;97477,72;86508,28;83531,03;74331,52;98276,38;106958,12;124041,43;108787,58;88099,99;101942,46;88868,85;99508,51;82323,26;95294,56;-;-;1893855,96
"110014 NOVA BRASILANDIA D'OESTE";39868,12;46178,62;30534,82;34755,72;33794,15;33906,70;27764,90;22662,09;20315,70;30911,95;31638,41;42392,85;38935,17;47042,71;40169,40;34524,58;41078,40;32180,71;23783,14;21105,92;18852,72;-;692396,78
"110015 OURO PRETO DO OESTE";146075,29;156005,20;131082,34;129635,21;125102,69;130956,66;118492,71;132360,52;133957,71;122975,28;123855,85;162914,22;179313,48;148265,98;160519,10;172466,53;143249,59;167270,69;141577,80;140843,53;162769,33;-;3029689,71
"110018 PIMENTA BUENO";210429,33;281753,13;92725,27;77066,54;107619,07;114834,37;112565,79;148917,66;131475,56;118884,50;143191,59;192214,62;234335,72;206926,54;207543,06;190994,81;216467,74;292224,75;258947,82;229767,46;152645,66;127051,46;3848582,45
